artist,title,album,lyrics,explicit,explict,Artist,Title,Album,Lyrics
Anitta,Maratona De Jogação,Ensaios Da Anitta,"HITMAKER!

Atenção!
Prepara que agora a maratona de jogação já vai começar
Atenção!
Chama logo a tropa toda que hoje a patroa ficou maluca
Encantadora de bunda

Tão, tão, tão na jogação
Tão, tão na jogação
Tão, tão na jogação
Vai, bebê, joga no chão (vai!)

Tão, tão na jogação
Tão, tão na jogação
Tão, tão na jogação
Vai, bebê, joga no chão

Tão, tão na jogação
Tão, tão na jogação
Tão, tão na jogação
Vai, bebê, joga no chão (HITMAKER!)

Vai, vai, bebê, joga o bundão
Vai, vai, bebê, joga o bundão
Vai, vai, bebê, joga o bundão
Joga o bundão, joga o bundão

Vai, vai, bebê, joga o bundão
Vai, vai, bebê, joga o bundão
Vai, vai, bebê, joga o bundão
Joga o bundão, joga o bundão

Atenção!
Prepara que agora a maratona de jogação já vai começar
Atenção!
Chama logo a tropa toda que hoje a patroa ficou maluca
Encantadora de bunda

Tão, tão, tão na jogação
Tão, tão na jogação
Tão, tão na jogação
Vai, bebê, joga no chão (vai!)

Tão, tão na jogação
Tão, tão na jogação
Tão, tão na jogação
Vai, bebê, joga no chão

Tão, tão na jogação
Tão, tão na jogação
Tão, tão na jogação
Vai, bebê, joga no chão (HITMAKER!)

Vai, vai, bebê, joga o bundão
Vai, vai, bebê, joga o bundão
Vai, vai, bebê, joga o bundão
Joga o bundão, joga o bundão

Vai, vai, bebê, joga o bundão
Vai, vai, bebê, joga o bundão
Vai, vai, bebê, joga o bundão
Joga o bundão, joga o bundão (HITMAKER!)",False,,,,,
Slipmami,Chris Drew,Malvatrem,"Hoje lembrei daquele cara emozinho e pá
Quando vi a unha preta comecei a lubrificar
Chamo ele na dm porque quero agitar
Puxo ele pela franja quando começa a mamar...
(continuação da letra)",True,,,,,
BK,BOM TE ENCONTRAR,VERÃO CRIMINOSO,"Hoje foi bom te encontrar

Agora tá tudo bem
Falei que a gente ia voltar a respirar e a vida vem
Voltar a se olhar sem se odiar e querer o bem
Estar no mesmo lugar sem mal estar
Sumir as nuvens
E o céu abriu novamente

Me desculpa qualquer coisa
Sei que há tempo já superamos
Mas nós falamos tanta coisa
Que não devia sair da boca
Tipo, hoje parece coisa boba

Do que a gente era criança
E brigava por coisa pouca
A história podia ser outra
É claro que eu senti saudades
É claro que eu senti sua falta
É claro que é bom te ver

Depois de tanto tempo
Hoje eu podemos sorrir
Eu ficava olhando a paisagem
Pra ver se você chegava
E vi que você não voltava
Então, dei meu jeito de ir viver

Mas foi bom te encontrar de novo
Eu sempre rezei por você
Mesmo sem te olhar no olho
Por você eu sempre vou torcer

Hoje foi bom te encontrar
Foi bom conversar
Saber que tá tudo bem
Estamos bem

E você diz que enlouqueceu um pouco
Não se culpe tanto
Olha o mundo que estamos
Tudo vira em instantes
Amigos viram creontes, os certos viram errantes

Amores viram a cara
Histórias viram a página
Eu não sei se voltaria no tempo
A vida sabe as notas da música que vai tocar
E se a gente cantou fora do tempo
A nossa não era única pra gente escutar

Porque algo em mim queira tentar
Algo em mim queira fugir
Algo em mim queira ficar
Algo em mim queira sumir

Vou tentar ignorar
Amei demais pra fingir
Longe demais pra voltar
Alto demais pra cair
Fácil é recomeçar
Difícil aceitar o fim
Esperei chuva acabar
Tempo abriu, agradecer
Vida segue sem parar
Veja a gente conseguiu
Foi ruim não vou negar
Mas tô até bem sozinho

Mas foi bom te encontrar de novo
Eu sempre rezei por você
Mesmo sem te olhar no olho
Por você eu sempre vou torcer
Hoje foi bom te encontrar
Bom conversar
Saber que tá tudo bem
Que estamos bem",True,,,,,
Racionais MC's,De Volta A Cena,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2","É tru, Racionais tá aí de novo, morô?
E os caras é mili anos na parada
Pode crê, e os caras representa a favela do começo ao fim
Mas aí, é muita treta hein? É ideia de mil grau no bagulho

Racionais roubando a cena
Realidade é a palavra, atitude é o meu o lema
Esquema feito, a justiça está com nós
Lei da periferia irmão, ouça a minha voz
Meu Rap é a linha de frente dessa guerrilha
Faça o que puder, vier, siga minha estreita trilha
Na picadilha a matrilha está a solta
Ideia de mil grau e o veneno escorrendo da boca

Nego, a vida é loka, cruel e sangrenta
Só, muito pior, sem dó, marginal e violenta
O sangue esquenta, ei Éder, quero ver
""Edinho, ligou o Marquinhos pra fazer o chão tremer""

Pode crer, não sou aquele que via satélite te seduz
Porque bala de ""PT"" não faz sinal da cruz
Nem muito menos tô aqui pra fazer média
Não sou aquele que pega carona na tragédia

Vejo de perto a viúva da dor
Pisando em caco de vidro, filha do rancor
Convivendo com o divino e o diabólico
Entre os Crentes, Espíritas, o crime e os Católicos
Tristes, eufóricos, tranquilos e melancólicos
O engatilhado sofrimento é metabólico
Soldado da paz, mas treinado pra guerra
Meu arsenal é o seu calvário nas ruas da Serra",False,,,,,
Projota,Vale Das Sombras,Tempestade Numa Gota D'Água,"Eu segui, eu segui, eu nem vi, eu nem sei
Só sei que segui, eu nem vi que eu deixei
O vale das sombras por onde eu passei
O vale das sombras por onde eu passei

Segui, eu segui, eu nem vi, eu nem sei
Só sei que segui, eu nem vi que eu deixei
O vale das sombras por onde eu passei
O vale das sombras por onde eu passei

Me deixa voar no teu céu
Me deixa voar no teu céu
Me deixa voar no teu céu
Pra escrever esses versos na superfície da lua
Pra toda noite você ver

Tenho me sentindo tão fraco, tão louco, tão tenso
Meus ombros parecem pedras
Eu adentro minha casa, eu retiro minhas asas
Meus sonos parecem quedas

Eu retiro minha capa de herói
E meus gritos de dor se parecem rezas
Eu preciso rezar, eu preciso rezar, eu preciso rezar (yeah)

O dia nasceu tão bonito
Mas quando à tarde, choveu
Não existe nada perfeito
Se eu vi, desapareceu

Tava me sentindo cansado
Quando alguém me socorreu
Alguém que era algo perfeito
Quem tava errado era eu

Eu segui, eu segui, eu nem vi, eu nem sei
Só sei que segui, eu nem vi que eu deixei
O vale das sombras por onde eu passei
O vale das sombras por onde eu passei

Segui, eu segui, eu nem vi, eu nem sei
Só sei que segui, eu nem vi que eu deixei
O vale das sombras por onde eu passei
O vale das sombras por onde eu passei

Tudo um dia foi saudade
Tudo um dia foi maldade
Tudo um dia foi o que todo dia foi
Hoje todo dia eu sou verdade

Eu precisei te ver
Pra ver que eu não quis te ver e tudo era você
E eu fiz de tudo pra fazer que tudo
Fosse um modo de eu nunca te ver

Me reprimi, me deprimi, me vi só ali
Foi quando eu me surpreendi
Que em cada momento de angústia e tormento
Se olhasse pra dentro, você tava ali

Todas as dores e todos os amores perdidos e cores
Hoje são quem são
Todas as perdas e todas as quedas
Hoje se tornaram a superação

Todos meus medos e todos segredos
Foram revelados, eu tive a visão
Não abra mares mas onde estiveres
Sempre abre a porta do meu coração

Tudo um dia foi saudade (tudo foi)
Tudo um dia foi maldade (tudo foi)
Tudo um dia foi o que todo dia foi
Hoje todo dia eu sou verdade

Me deixa voar no teu céu
Me deixa voar no teu céu
Me deixa voar no teu céu
Pra escrever esses versos na superfície da lua
Pra toda noite você ver

Eu segui, eu segui, eu nem vi, eu nem sei
Só sei que segui, eu nem vi que eu deixei
O vale das sombras por onde eu passei
O vale das sombras por onde eu passei

Segui, eu segui, eu nem vi, eu nem sei
Só sei que eu segui, eu nem vi que eu deixei
O vale das sombras por onde eu passei
O vale das sombras por onde eu passei

Eu preciso rezar, eu preciso rezar
Eu preciso rezar e agradecer
Eu preciso rezar, eu preciso rezar
Preciso rezar e agradecer
Eu preciso rezar, eu preciso rezar
Eu preciso rezar e agradecer

Foco força e fé",False,,,,,
Djonga,das amantes freestyle,Inocente 'Demotape',"Uma fiel por cidade
E uma amante também
Todas sabendo a verdade
E elas até se dão bem
No show do Belo ou no baile
Se eu tô de peça ela vem
Uma foi capa da Vogue
E a outra faz publi pra Shein

Cê tá até bem de vestido colado
Só que sem ele é melhor
Cai bem em você seu perfume Lancôme
Mas prefiro seu suor
Eu tô de robozão sem capa na rua
Geral já sabe de cor, ow
Trajeto de sábado na quebrada
Carta, bebida e b.o
Eu ando sem freio e meu airbag é Deus
O pai que nunca pensou em ser ausente
Eu sei que o bem é o caminho pra luz
Mas não me ajoelho pra falso crente
Real igual esses bandido shopee
Que não sabe o poder do berro
Era só um cara de pau e caiu
Por achar que era o homem de ferro

Vários apê na cidade
Vários guerreiro e uns piloto
Nem o mais brabo, nem covarde
Nós só não abandona um ao outro
No chuveiro mandando vídeo
Ouvindo Sorriso Maroto
Diz que quer um cara direito
E olha que eu nem sou canhoto

Quer saber no storie que filtro eu uso
Eu chamo esse de cor da pele
Carinha de susto acredita bebê
Já nasci em dia com minha skincare
Ela senta bem, toma um Bloody Mary
Mó postura de mulher do chefe
Sei dá carinho, chamo de mon cherí
Daqui uns anin vai ser minha Rochelle
Pergunta já foi 'vou o ter o que comer?'
Hoje é se eu vou de Rolex ou Cartier
Aliás falando em ter o que comer
Não para de ligar ela só quer fuder
Minha piscina tem borda infinita irmão
Combina com limite do meu cartão
Aliás falando em infinita então
É de perder de vista, olha que bundão

Uma fiel por cidade
Uma amante também
Todas sabendo a verdade
E elas até se dão bem
No show do Belo ou no baile
Se eu tô peça ela vem
Uma foi capa da Vogue
E a outra faz publi pra Shein",True,,,,,
Racionais MC's,Homem na Estrada,Raio X do Brasil,"Um homem na estrada recomeça sua vida
Sua finalidade, a sua liberdade
Que foi perdida, subtraída
E quer provar à si mesmo que realmente mudou

Que se recuperou e quer viver em paz
Não olhar para trás, dizer ao crime: Nunca mais
Pois sua infância não foi um mar de rosas, não
Na FEBEM, lembranças dolorosas, então

Sim, ganhar dinheiro, ficar rico, enfim
Muitos morreram sim, sonhando alto assim
Me digam: Quem é feliz? Quem não se desespera
Vendo nascer seu filho no berço da miséria?

Um lugar onde só tinham como atração
O bar e o candomblé pra se tomar a bênção
Esse é o palco da história que por mim será contada
Um homem na estrada

Equilibrado num barranco um cômodo mal acabado e sujo
Porém seu único lar, seu bem e seu refúgio
Um cheiro horrível de esgoto no quintal
Por cima ou por baixo, se chover será fatal

Um pedaço do inferno, aqui é onde eu estou
Até o IBGE passou aqui e nunca mais voltou
Numerou os barracos, fez uma pá de perguntas
Logo depois esqueceram, filha da puta

Acharam uma mina morta e estuprada
Deviam estar com muita raiva, mano, quanta paulada
Estava irreconhecível, o rosto desfigurado
Deu meia noite e o corpo ainda estava lá

Coberto com lençol, ressecado pelo Sol, jogado
O IML estava só dez horas atrasado
Sim, ganhar dinheiro, ficar rico, enfim
Quero que meu filho nem se lembre daqui

Tenha uma vida segura, não quero que ele cresça
Com um oitão na cintura e uma PT na cabeça
O resto da madrugada sem dormir
Ele pensa o que fazer para sair dessa situação

Desempregado então, com má reputação
Viveu na detenção, ninguém confia não
E a vida desse homem para sempre foi danificada
Um homem na estrada

Um homem na estrada

Amanhece mais um dia e tudo é exatamente igual
Calor insuportável, 28 graus
Faltou água, já é rotina, monotonia
Não tem prazo pra voltar, já fazem cinco dias

São dez horas, a rua está agitada
Uma ambulância foi chamada com extrema urgência
Loucura, violência exagerada
Estourou a própria mãe, estava embriagado

Mas bem antes da ressaca ele foi julgado
Arrastado pela rua o pobre do elemento
O inevitável linchamento, imaginem só
Ele ficou bem feio, não tiveram dó

Os ricos fazem campanha contra as drogas
E falam sobre o poder destrutivo delas
Por outro lado promovem e ganham muito dinheiro
Com o álcool que é vendido na favela

Empapuçado ele sai, vai dar um rolê
Não acredita no que vê, não daquela maneira
Crianças, gatos, cachorros disputam palmo a palmo
Seu café da manhã na lateral da feira

Molecada sem futuro, eu já consigo ver
Só vão na escola pra comer, apenas, nada mais
Como é que vão aprender sem incentivo de alguém?
Sem orgulho e sem respeito, sem saúde e sem paz

Um mano meu tava ganhando um dinheiro
Tinha comprado um carro, até Rolex tinha
Foi fuzilado a queima roupa no colégio
Abastecendo a playboyzada de farinha

Ficou famoso, virou notícia, rendeu dinheiro
Aos jornais, cartaz, à policia
Vinte anos de idade, alcançou os primeiros lugares
Superstar do notícias populares

Uma semana depois chegou o crack
Gente rica por trás, diretoria
Aqui, periferia, miséria de sobra
Um salário por dia garante a mão-de-obra

A clientela tem grana e compra bem
Tudo em casa, costa quente de sócio
A playboyzada muito louca até os ossos
Vender droga por aqui, grande negócio

Sim, ganhar dinheiro ficar rico, enfim
Quero um futuro melhor, não quero morrer assim
Num necrotério qualquer, como indigente
Sem nome e sem nada, o homem na estrada

Assaltos na redondeza levantaram suspeitas
Logo acusaram a favela para variar
E o boato que corre é que esse homem está
Com o seu nome lá na lista dos suspeitos

Pregada na parede do bar
A noite chega e o clima estranho no ar
E ele sem desconfiar de nada, vai dormir tranquilamente
Mas na calada caguetaram seus antecedentes

Como se fosse uma doença incurável
No seu braço a tatuagem, deve ser uma passagem, 157 na lei
No seu lado não tem mais ninguém
A justiça criminal é implacável

Tiram sua liberdade, família e moral
Mesmo longe do sistema carcerário
Te chamarão pra sempre de ex-presidiário
Não confio na polícia, raça do caralho

Se eles me acham baleado na calçada
Chutam minha cara e cospem em mim, é
Eu sangraria até a morte, já era, um abraço
Por isso a minha segurança eu mesmo faço

É madrugada, parece estar tudo normal
Mas esse homem desperta, pressentindo o mal
Muito cachorro latindo
Ele acorda ouvindo barulho de carro e passos no quintal

A vizinhança está calada e insegura
Premeditando o final que já conhecem bem
Na madrugada da favela não existem leis
Talvez a lei do silêncio, a lei do cão, talvez

Vão invadir o seu barraco, é a polícia
Vieram pra arregaçar, cheios de ódio e malícia
Filhos da puta, comedores de carniça
Já deram minha sentença e eu nem tava na treta

Não são poucos e já vieram muito loucos
Matar na crocodilagem, não vão perder viagem
Quinze caras lá fora, diversos calibres
E eu apenas com uma treze tiros automática

Sou eu mesmo e eu, meu Deus e meu orixá
No primeiro barulho eu vou atirar
Se eles me pegam, meu filho fica sem ninguém
O que eles querem, mais um pretinho na FEBEM

Sim, ganhar dinheiro ficar rico, enfim
A gente sonha a vida inteira e só acorda no fim
Minha verdade foi outra, não dá mais tempo pra nada

Homem mulato aparentando entre vinte e cinco e trinta anos
É encontrado morto na estrada do M'Boi Mirim sem número
Tudo indica ter sido acerto de contas entre quadrilhas rivais
Segundo a polícia, a vítima tinha vasta ficha criminal",True,,,,,
Racionais MC's,O Mal e o Bem,Racionais 3 Décadas,"Uma vida, uma história de vitórias na memória
Igual o livro o mal e o bem
Pro seu bem, pro meu bem

Um espinho, uma rosa
Uma trilha, uma curva perigosa a mais de cem
Pro seu bem, pro meu bem

Pow pow pow, meu destino agora sou
Vou sem capacete, sem placa e sem retrovisor
Quem me aguarda?
Quem me espera?
Não me desespera pelos morros que eu passei

Fora da lei, eu sei, perdi e ganhei
Errei e acreditei numa luz que eu enxerguei
KL Jay, dj, Vila Mazzei
O Jó me apresentou em meados de 83
Dançando break a parceria fechou, formou
Mais uma dupla de são paulo se aventurou

Em meio as trevas, é, e o sereno
Elaboramos a cura, a fórmula com veneno
E até hoje convivendo com o perigo
Andando em facções, roubando os corações feridos

Contra o racismo, contra a desigualdade
A máquina, a fábrica que exporta criminalidade
Várias cidades, só, vários parceiros
Um salve nas quebradas de São Paulo, Rio de Janeiro
Pelo ponteiro a 220 estou
Desde 80 é espírito que me levou

Uma vida, uma história de vitórias na memória
Igual o livro o mal e o bem
Pro seu bem, pro meu bem
Um espinho, uma rosa, uma trilha
Uma curva perigosa a mais de cem
Pro seu bem, pro meu bem
Céu azul

Então vai, em 90 a cena ficou violenta
Brown e o Blue com pânico na zona sul
Escolha o seu caminho, negro limitado
A voz ativa de um povo que é descriminado

Me lembro bem, bem e o mal que você me fez
É que me mantém bem pra não ser pego outra vez
As armadilha que engatilha no meio da trilha
Um cumprimento, um abraço, um olho que brilha

E que atira, na mira um coração bandido
Bem vindo a selva onde todos saíram feridos
Mas tamo aqui, a postos pro seu general
Cavando o túnel e rumo ao banco central

To na função em direção ao horizonte
Muito sinai, quem vai chegar ao monte
Na adolescência meu velho falava um montão
Sobre a vida sobre o mal sobre as tentação

Fechou negrão, tudo sempre será lembrado
Foi meu chefe, meu parceiro, foi meu aliado
Acelerado a milhão, na 1100
Um destino, uma brisa, o mal e o bem

Uma vida, uma história de vitórias na memória
Igual o livro o mal e o bem
Pro seu bem, pro meu bem
Um espinho, uma rosa, uma trilha
Uma curva perigosa a mais de cem
Pro seu bem, pro meu bem

Céu azul
25 Anos depois firme e forte
Vivão e vivendo
Racionais mc's",True,,,,,
Slipmami,Problemas de Confiança,Malvatrem,"Ei, Trem-balinha
Trem-balinha, Trem-balinha nessa puta
Heavy Baile, Heavy Baile nessa porra, hã-hã
Trem-balinha da V.U. hm
Puta vai tomar no cu, ei
(Vhulto você é um bosta)

Hã-hã
Total flex 8v 4p pra você
Essa buceta é mídia igual o Heavy Baile...
(continuação da letra)",True,,,,,
Rashid,Poucos e Bons,Dádiva & Dívida,"Essa eu escrevi pros meus amigos
Porque quando eu perdi, eles tiveram comigo
Quando eu caí, eles tiveram comigo
Então quando eu subir, eles vão tá comigo também

Essa eu escrevi pros meus amigos
Porque quando eu perdi, eles tiveram comigo
Quando eu caí, eles tiveram comigo
Então quando eu subir, eles vão tá comigo também

Quantos amigos seus sumiram
Só os que eram de coração
E vocês nunca mais se viram
Eu também vivi histórias
Com quem ouvia as minhas histórias
As mesmas histórias que agora me inspiram

Por isso escrevi essa como homenagem
Que cada linha dessa te traga uma imagem
Uma lembrança dos nossos melhores anos
Mais que isso, uma lembrança dos nossos melhores manos

Eu tive amigos de todo tipo que se imagina
Eu tive irmãos de outras mães que me aconselhavam
Uns como filhos que se perderam em cada esquinas
Outros como pais que praticamente me bancavam
Alguns sumiam por meses, mas eu sempre amei vocês
Desculpa se eu disse isso poucas vezes, ou deixei meu ego me calar
Pena que alguns deles já não tão mais por aqui pra poder me escutar

Essa eu escrevi pros meus amigos
Porque quando eu perdi, eles tiveram comigo
Quando eu caí, eles tiveram comigo
Então quando eu subir, eles vão tá comigo também

Essa eu escrevi pros meus amigos
Porque quando eu perdi, eles tiveram comigo
Quando eu caí, eles tiveram comigo
Então quando eu subir, eles vão tá comigo também

Vi vários mudarem de vida e vi a vida mudar vários deles
Quando não tinham mais saída
Eu vi um filho alegrar vários deles
E criarem suas saídas inspirados neles
Por mais defeitos que tivessem, eu tava com eles
E todos eles merecem respeito
Aí o tempo fez o seu efeito
Eu fui fiel à quem retribuiu com o mesmo feito
Perfeito, agora, outros não tiveram jeito

Aos que ficaram e brigaram junto na saída
Escutavam minhas rimas ruins de quando era moleque
E se hoje o rap é minha vida
Meus amigos são o principal motivo pelo qual eu faço rap
Meus amigos são a luz que em guia
Eles podem não saber, mas eu devo à eles cada dia
E cada novo plano
E só quem já teve uma família na rua
Vai entender o que eu tô falando

Essa eu escrevi pros meus amigos
Porque quando eu perdi, eles tiveram comigo
Quando eu caí, eles tiveram comigo
Então quando eu subir, eles vão tá comigo também

Essa eu escrevi pros meus amigos
Porque quando eu perdi, eles tiveram comigo
Quando eu caí, eles tiveram comigo
Então quando eu subir, eles vão tá comigo também

Eu sou um cara de poucos amigos, poucos e bons
Um cara de poucos amigos, poucos e bons
Um cara de poucos amigos, poucos e bons
Amigos, essa é pra vocês
Eu sou um cara de poucos amigos, poucos e bons
Um cara de poucos amigos, poucos e bons
Um cara de poucos amigos, poucos e bons
Amigos, essa é pra vocês",False,,,,,
